"","...1","ID","stim_ID","GW","GAL","NGW","NGL","jitter1","jitter2","RT","outcomefeed","condition","session","response","GoResponse","Cue","req_action","correct","trial_number","block","TrialCount","feedback","OutValence","salient","followup_beha","correct_feedback","followup_response","next_action","next_action_binary"
"39",157,"AAAA0432",6,6,7,8,5,1254,841,460,1,"a.sham",3,"press",1,"GW","Go",1,157,2,19,"win","Win","win","press",1,"press","press",1
"40",159,"AAAA0432",6,6,7,8,5,1935,888,520,0,"a.sham",3,"press",1,"GW","Go",1,159,2,20,"neutral","Win",NA,"press",0,NA,NA,NA
"41",162,"AAAA0432",10,10,11,12,9,1671,732,632,1,"a.sham",3,"press",1,"GW","Go",1,162,3,1,"win","Win","win","press",1,"press","press",1
"42",164,"AAAA0432",10,10,11,12,9,1821,876,1192,1,"a.sham",3,"press",1,"GW","Go",1,164,3,2,"win","Win","win","press",1,"press","press",1
"43",165,"AAAA0432",10,10,11,12,9,2135,571,604,0,"a.sham",3,"press",1,"GW","Go",1,165,3,3,"neutral","Win",NA,"press",0,NA,"press",1
"44",168,"AAAA0432",10,10,11,12,9,2411,519,614,1,"a.sham",3,"press",1,"GW","Go",1,168,3,4,"win","Win","win","press",1,"press","press",1
"45",169,"AAAA0432",10,10,11,12,9,1741,905,656,1,"a.sham",3,"press",1,"GW","Go",1,169,3,5,"win","Win","win","press",1,"press","press",1
"46",174,"AAAA0432",10,10,11,12,9,2082,743,617,1,"a.sham",3,"press",1,"GW","Go",1,174,3,6,"win","Win","win","press",1,"press","press",1
"47",177,"AAAA0432",10,10,11,12,9,1732,575,677,1,"a.sham",3,"press",1,"GW","Go",1,177,3,7,"win","Win","win","press",1,"press","press",1
"48",180,"AAAA0432",10,10,11,12,9,2687,649,597,1,"a.sham",3,"press",1,"GW","Go",1,180,3,8,"win","Win","win","press",1,"press","press",1
"49",181,"AAAA0432",10,10,11,12,9,2116,988,524,1,"a.sham",3,"press",1,"GW","Go",1,181,3,9,"win","Win","win","press",1,"press","press",1
"50",187,"AAAA0432",10,10,11,12,9,1904,884,562,0,"a.sham",3,"press",1,"GW","Go",1,187,3,10,"neutral","Win",NA,"press",0,NA,"press",1
"51",192,"AAAA0432",10,10,11,12,9,1773,510,657,0,"a.sham",3,"press",1,"GW","Go",1,192,3,11,"neutral","Win",NA,"press",0,NA,"press",1
"52",195,"AAAA0432",10,10,11,12,9,2044,790,537,1,"a.sham",3,"press",1,"GW","Go",1,195,3,12,"win","Win","win","press",1,"press","press",1
"53",200,"AAAA0432",10,10,11,12,9,1783,665,579,1,"a.sham",3,"press",1,"GW","Go",1,200,3,13,"win","Win","win","press",1,"press","press",1
"54",202,"AAAA0432",10,10,11,12,9,1965,809,599,0,"a.sham",3,"press",1,"GW","Go",1,202,3,14,"neutral","Win",NA,"press",0,NA,"press",1
"55",212,"AAAA0432",10,10,11,12,9,1160,788,532,1,"a.sham",3,"press",1,"GW","Go",1,212,3,15,"win","Win","win","press",1,"press","press",1
"56",213,"AAAA0432",10,10,11,12,9,1652,951,526,1,"a.sham",3,"press",1,"GW","Go",1,213,3,16,"win","Win","win","press",1,"press","press",1
"57",214,"AAAA0432",10,10,11,12,9,2434,533,428,1,"a.sham",3,"press",1,"GW","Go",1,214,3,17,"win","Win","win","press",1,"press","press",1
"58",216,"AAAA0432",10,10,11,12,9,1773,576,539,1,"a.sham",3,"press",1,"GW","Go",1,216,3,18,"win","Win","win","press",1,"press","press",1
"59",222,"AAAA0432",10,10,11,12,9,1803,940,365,1,"a.sham",3,"press",1,"GW","Go",1,222,3,19,"win","Win","win","press",1,"press","press",1
"60",234,"AAAA0432",10,10,11,12,9,1510,548,555,1,"a.sham",3,"press",1,"GW","Go",1,234,3,20,"win","Win","win","press",1,"press",NA,NA
"61",247,"AAAA0432",16,16,15,14,13,1995,896,966,1,"a.sham",3,"press",1,"GW","Go",1,247,4,1,"win","Win","win","press",1,"press","press",1
"62",248,"AAAA0432",16,16,15,14,13,1755,963,558,1,"a.sham",3,"press",1,"GW","Go",1,248,4,2,"win","Win","win","press",1,"press","press",1
