1	2	1	4	3	1198	879	706	0
2	2	1	4	3	3219	829	623	1
1	2	1	4	3	2076	770	708	-1
1	2	1	4	3	2121	873	0	-1
2	2	1	4	3	2058	906	718	0
3	2	1	4	3	2331	539	875	-1
1	2	1	4	3	1757	975	452	0
1	2	1	4	3	2898	964	0	-1
2	2	1	4	3	1247	634	871	1
2	2	1	4	3	2581	897	716	1
1	2	1	4	3	2709	803	909	0
3	2	1	4	3	2089	573	962	0
1	2	1	4	3	1638	961	606	0
2	2	1	4	3	2640	551	620	1
4	2	1	4	3	1522	908	1291	1
3	2	1	4	3	1880	517	0	0
4	2	1	4	3	2587	616	723	0
4	2	1	4	3	3179	536	696	0
3	2	1	4	3	1567	898	0	0
2	2	1	4	3	1238	813	544	0
1	2	1	4	3	1368	555	0	-1
2	2	1	4	3	2080	879	600	1
4	2	1	4	3	2520	893	0	1
1	2	1	4	3	1892	783	627	0
3	2	1	4	3	2298	834	0	0
4	2	1	4	3	1539	653	695	0
3	2	1	4	3	2173	719	0	0
3	2	1	4	3	2374	794	0	0
4	2	1	4	3	1595	782	580	1
4	2	1	4	3	3243	904	870	0
3	2	1	4	3	2095	514	0	0
4	2	1	4	3	2246	973	608	1
3	2	1	4	3	2190	837	0	0
4	2	1	4	3	2203	517	552	0
1	2	1	4	3	2275	735	638	0
2	2	1	4	3	2353	711	687	1
2	2	1	4	3	2194	869	643	0
4	2	1	4	3	2180	965	909	0
1	2	1	4	3	2374	607	0	-1
4	2	1	4	3	1418	560	1125	0
2	2	1	4	3	1861	770	639	1
1	2	1	4	3	1551	755	0	-1
1	2	1	4	3	1349	564	0	-1
4	2	1	4	3	2185	996	641	0
2	2	1	4	3	1585	783	507	1
1	2	1	4	3	1502	739	0	-1
3	2	1	4	3	2763	573	0	-1
4	2	1	4	3	1873	778	682	0
1	2	1	4	3	1975	508	0	-1
3	2	1	4	3	1733	646	652	-1
3	2	1	4	3	1576	657	0	0
3	2	1	4	3	1000	671	0	0
1	2	1	4	3	2525	900	0	-1
4	2	1	4	3	2014	798	707	0
3	2	1	4	3	2209	511	0	0
3	2	1	4	3	1576	795	0	0
4	2	1	4	3	2934	889	0	1
3	2	1	4	3	1513	623	759	0
2	2	1	4	3	1710	601	927	1
2	2	1	4	3	1301	970	664	1
2	2	1	4	3	2649	949	624	1
4	2	1	4	3	1000	833	0	1
4	2	1	4	3	1832	928	1028	0
1	2	1	4	3	2678	706	0	0
3	2	1	4	3	1669	792	0	0
2	2	1	4	3	2128	850	662	1
2	2	1	4	3	1770	516	1388	0
3	2	1	4	3	2065	611	0	0
4	2	1	4	3	1737	865	684	1
4	2	1	4	3	1279	841	0	1
3	2	1	4	3	1379	597	0	0
2	2	1	4	3	2243	678	493	1
2	2	1	4	3	1758	994	628	1
2	2	1	4	3	2253	1000	1016	1
4	2	1	4	3	3367	953	516	0
3	2	1	4	3	1668	970	0	-1
1	2	1	4	3	2332	893	0	-1
1	2	1	4	3	2222	564	0	-1
1	2	1	4	3	2057	790	0	0
2	2	1	4	3	2927	578	962	1
6	8	7	6	5	1997	627	0	1
6	8	7	6	5	2100	553	1132	0
7	8	7	6	5	3094	548	691	0
5	8	7	6	5	2306	926	707	-1
8	8	7	6	5	1989	796	708	1
7	8	7	6	5	1422	586	640	0
5	8	7	6	5	1277	722	599	-1
8	8	7	6	5	1819	603	764	1
5	8	7	6	5	2503	861	0	-1
5	8	7	6	5	2767	527	0	0
8	8	7	6	5	1582	549	689	1
5	8	7	6	5	3057	970	0	0
7	8	7	6	5	1623	741	0	-1
7	8	7	6	5	3435	857	1046	0
5	8	7	6	5	2031	871	0	0
7	8	7	6	5	2289	975	0	-1
7	8	7	6	5	1671	923	0	0
8	8	7	6	5	1660	811	441	1
7	8	7	6	5	1510	620	0	0
6	8	7	6	5	1782	561	715	0
5	8	7	6	5	2398	807	0	0
8	8	7	6	5	1461	988	0	0
8	8	7	6	5	2689	709	1079	1
8	8	7	6	5	1531	504	1419	1
5	8	7	6	5	1584	911	0	0
6	8	7	6	5	1615	518	0	1
6	8	7	6	5	1984	976	572	1
8	8	7	6	5	2420	883	1012	1
6	8	7	6	5	1447	581	645	0
5	8	7	6	5	2107	985	0	-1
8	8	7	6	5	2173	788	863	1
8	8	7	6	5	1439	752	0	0
7	8	7	6	5	2572	534	0	-1
7	8	7	6	5	1779	518	0	-1
5	8	7	6	5	2086	927	0	0
5	8	7	6	5	2266	880	0	0
5	8	7	6	5	1874	931	0	0
5	8	7	6	5	2168	660	0	0
8	8	7	6	5	3024	668	0	1
6	8	7	6	5	1838	918	513	0
7	8	7	6	5	1655	842	0	0
6	8	7	6	5	2435	594	0	1
7	8	7	6	5	2734	725	0	-1
5	8	7	6	5	1832	759	0	-1
6	8	7	6	5	1659	600	613	0
6	8	7	6	5	2324	694	0	0
8	8	7	6	5	2293	881	0	0
6	8	7	6	5	2763	909	517	1
6	8	7	6	5	3235	567	519	0
6	8	7	6	5	1880	533	670	0
8	8	7	6	5	2547	962	0	0
8	8	7	6	5	3659	601	610	0
5	8	7	6	5	1743	915	0	0
8	8	7	6	5	2521	981	669	1
6	8	7	6	5	2078	517	722	0
5	8	7	6	5	2800	931	668	-1
8	8	7	6	5	2305	978	980	1
6	8	7	6	5	1573	642	1175	0
8	8	7	6	5	1000	892	781	0
5	8	7	6	5	1528	516	0	0
7	8	7	6	5	2232	552	0	-1
7	8	7	6	5	2231	615	0	-1
7	8	7	6	5	2599	725	0	-1
7	8	7	6	5	2059	579	0	-1
7	8	7	6	5	2413	932	0	0
5	8	7	6	5	1480	813	0	0
5	8	7	6	5	2958	684	0	0
8	8	7	6	5	1610	519	0	0
5	8	7	6	5	2926	519	799	-1
7	8	7	6	5	2484	800	0	-1
7	8	7	6	5	2403	601	0	-1
6	8	7	6	5	1181	710	549	0
6	8	7	6	5	2276	516	1213	0
6	8	7	6	5	1592	750	0	0
7	8	7	6	5	1382	619	0	-1
7	8	7	6	5	1636	785	617	0
8	8	7	6	5	2251	632	569	1
6	8	7	6	5	1000	605	658	0
8	8	7	6	5	2151	640	674	0
6	8	7	6	5	2086	853	610	0
9	10	9	12	11	1759	917	0	-1
12	10	9	12	11	2592	604	449	0
11	10	9	12	11	1856	586	505	-1
11	10	9	12	11	1851	965	562	0
9	10	9	12	11	2273	717	431	0
9	10	9	12	11	2256	796	0	-1
10	10	9	12	11	1000	941	0	0
12	10	9	12	11	1386	798	648	0
10	10	9	12	11	1646	783	0	1
11	10	9	12	11	3147	585	1003	-1
12	10	9	12	11	3107	591	0	1
12	10	9	12	11	2527	886	0	1
10	10	9	12	11	2365	718	0	0
12	10	9	12	11	1841	613	0	1
10	10	9	12	11	1503	913	437	1
9	10	9	12	11	1666	835	0	-1
10	10	9	12	11	2229	737	1014	1
11	10	9	12	11	2211	868	0	0
9	10	9	12	11	2074	810	0	-1
9	10	9	12	11	1342	549	483	0
9	10	9	12	11	2829	960	758	0
11	10	9	12	11	2276	616	0	0
9	10	9	12	11	2140	674	405	0
12	10	9	12	11	2511	848	0	1
10	10	9	12	11	1254	613	0	0
11	10	9	12	11	1470	857	0	0
10	10	9	12	11	1736	900	0	0
11	10	9	12	11	1898	986	0	0
10	10	9	12	11	2420	900	0	0
11	10	9	12	11	2583	789	0	0
12	10	9	12	11	1400	891	613	0
10	10	9	12	11	1550	911	804	0
9	10	9	12	11	5000	758	569	0
10	10	9	12	11	2442	628	659	0
12	10	9	12	11	2020	949	886	0
9	10	9	12	11	2485	849	628	0
11	10	9	12	11	2184	603	637	0
12	10	9	12	11	2335	838	687	0
12	10	9	12	11	2102	814	567	0
9	10	9	12	11	1953	952	842	0
10	10	9	12	11	2053	961	754	1
12	10	9	12	11	2336	986	554	0
10	10	9	12	11	1820	781	492	1
12	10	9	12	11	1759	812	775	1
11	10	9	12	11	2355	510	695	-1
11	10	9	12	11	1823	987	463	0
10	10	9	12	11	1565	807	1439	1
11	10	9	12	11	3539	800	650	-1
10	10	9	12	11	2936	614	695	1
11	10	9	12	11	1300	697	626	-1
9	10	9	12	11	1919	508	0	-1
9	10	9	12	11	1811	823	831	0
10	10	9	12	11	1575	563	753	1
12	10	9	12	11	1743	834	655	0
10	10	9	12	11	1841	768	606	1
12	10	9	12	11	2147	619	0	0
11	10	9	12	11	1749	648	0	0
12	10	9	12	11	2422	834	742	0
9	10	9	12	11	1960	838	341	0
9	10	9	12	11	1988	590	556	0
12	10	9	12	11	2202	556	562	0
10	10	9	12	11	2127	673	537	1
12	10	9	12	11	2039	748	446	1
11	10	9	12	11	2247	676	0	0
11	10	9	12	11	2086	679	0	0
9	10	9	12	11	2958	858	469	-1
11	10	9	12	11	1871	663	0	0
9	10	9	12	11	2822	893	0	0
11	10	9	12	11	1844	646	0	0
12	10	9	12	11	2566	886	886	0
9	10	9	12	11	1528	566	695	0
12	10	9	12	11	1556	885	0	0
9	10	9	12	11	1497	611	723	0
10	10	9	12	11	2255	564	701	1
9	10	9	12	11	2289	846	575	-1
10	10	9	12	11	1834	716	610	1
11	10	9	12	11	1504	764	0	-1
12	10	9	12	11	1782	917	635	0
10	10	9	12	11	2260	846	553	0
11	10	9	12	11	2071	982	0	0
14	16	13	14	15	2114	971	0	1
13	16	13	14	15	1985	571	595	0
13	16	13	14	15	2371	755	693	0
15	16	13	14	15	1857	748	487	-1
