2	4	3	2	1	2251	782	757	0
3	4	3	2	1	1988	883	766	0
1	4	3	2	1	2324	962	678	-1
4	4	3	2	1	1743	914	709	1
1	4	3	2	1	2039	832	0	-1
2	4	3	2	1	1573	910	1220	0
4	4	3	2	1	1246	880	945	1
3	4	3	2	1	2671	662	0	-1
3	4	3	2	1	1510	891	671	0
2	4	3	2	1	2065	935	1219	0
1	4	3	2	1	2243	828	0	0
4	4	3	2	1	1861	788	770	0
1	4	3	2	1	1474	864	0	0
3	4	3	2	1	2151	543	1136	0
4	4	3	2	1	1610	554	813	1
2	4	3	2	1	1212	735	0	0
2	4	3	2	1	1286	960	0	1
2	4	3	2	1	2374	521	0	1
1	4	3	2	1	1478	615	0	0
4	4	3	2	1	2678	851	777	1
3	4	3	2	1	2305	710	842	0
4	4	3	2	1	1386	709	1032	1
2	4	3	2	1	2121	706	0	1
2	4	3	2	1	2040	961	0	1
1	4	3	2	1	1439	547	0	0
1	4	3	2	1	1755	763	0	0
1	4	3	2	1	2202	580	0	-1
1	4	3	2	1	2295	841	0	0
3	4	3	2	1	1485	870	752	-1
4	4	3	2	1	3219	927	1071	1
4	4	3	2	1	2572	724	526	1
1	4	3	2	1	2140	728	0	0
2	4	3	2	1	2822	752	0	1
4	4	3	2	1	1600	634	707	0
3	4	3	2	1	1874	938	645	0
2	4	3	2	1	1539	816	0	0
3	4	3	2	1	1851	779	587	0
2	4	3	2	1	1782	905	0	1
3	4	3	2	1	1874	644	646	-1
2	4	3	2	1	2527	615	0	1
4	4	3	2	1	1638	854	716	0
1	4	3	2	1	1985	997	0	0
3	4	3	2	1	2592	877	665	-1
2	4	3	2	1	1871	573	0	1
1	4	3	2	1	3539	791	0	0
1	4	3	2	1	1576	989	0	0
3	4	3	2	1	2420	685	627	0
3	4	3	2	1	2298	933	713	0
1	4	3	2	1	1979	853	0	0
3	4	3	2	1	2572	547	727	0
3	4	3	2	1	1504	541	634	0
3	4	3	2	1	1779	512	558	0
1	4	3	2	1	1000	904	0	-1
4	4	3	2	1	2180	898	605	1
2	4	3	2	1	1720	721	0	1
2	4	3	2	1	2009	805	0	1
4	4	3	2	1	1892	631	714	1
4	4	3	2	1	2649	768	637	1
2	4	3	2	1	1330	510	0	0
2	4	3	2	1	2587	657	0	1
3	4	3	2	1	2276	750	1023	-1
2	4	3	2	1	1469	615	0	1
1	4	3	2	1	1960	941	0	0
2	4	3	2	1	2355	967	0	0
3	4	3	2	1	2599	699	559	0
4	4	3	2	1	3460	914	857	1
3	4	3	2	1	1522	525	851	0
1	4	3	2	1	1502	567	0	0
3	4	3	2	1	2422	994	799	0
4	4	3	2	1	1733	695	625	1
4	4	3	2	1	1000	985	0	0
4	4	3	2	1	1268	557	590	1
4	4	3	2	1	1989	867	614	1
1	4	3	2	1	2403	745	0	0
4	4	3	2	1	2583	617	666	1
1	4	3	2	1	2147	753	0	0
4	4	3	2	1	2354	717	526	0
2	4	3	2	1	1770	920	0	1
3	4	3	2	1	2247	677	820	0
1	4	3	2	1	1614	899	0	0
5	8	5	6	7	2107	856	753	0
5	8	5	6	7	1710	976	395	0
7	8	5	6	7	3107	772	1028	-1
7	8	5	6	7	2074	588	0	0
8	8	5	6	7	1636	628	644	1
7	8	5	6	7	1823	990	1479	-1
6	8	5	6	7	1480	836	0	1
5	8	5	6	7	1611	772	943	0
7	8	5	6	7	2564	678	0	-1
5	8	5	6	7	1379	839	647	0
5	8	5	6	7	1400	730	705	0
6	8	5	6	7	1510	573	0	1
8	8	5	6	7	1528	542	547	1
7	8	5	6	7	2173	931	0	0
5	8	5	6	7	3147	561	795	-1
6	8	5	6	7	1967	608	0	1
8	8	5	6	7	1526	936	515	1
7	8	5	6	7	2211	932	0	0
6	8	5	6	7	1792	500	0	1
8	8	5	6	7	2020	758	657	1
6	8	5	6	7	1841	800	0	1
7	8	5	6	7	1427	805	0	0
6	8	5	6	7	2767	689	0	1
6	8	5	6	7	2936	611	0	1
7	8	5	6	7	2958	727	0	0
7	8	5	6	7	1666	857	0	-1
8	8	5	6	7	2898	732	614	1
5	8	5	6	7	2442	628	605	-1
8	8	5	6	7	2209	529	973	1
7	8	5	6	7	2365	718	0	0
8	8	5	6	7	1833	504	636	1
6	8	5	6	7	1503	523	0	0
8	8	5	6	7	2054	642	645	1
6	8	5	6	7	2566	814	0	1
6	8	5	6	7	2484	935	0	1
6	8	5	6	7	1368	977	0	1
6	8	5	6	7	3024	730	0	0
5	8	5	6	7	1205	844	704	0
8	8	5	6	7	1544	509	577	0
6	8	5	6	7	3367	874	0	1
8	8	5	6	7	2293	921	807	1
7	8	5	6	7	2413	912	0	0
7	8	5	6	7	2336	709	0	-1
8	8	5	6	7	1342	772	611	1
8	8	5	6	7	2173	601	785	1
8	8	5	6	7	1922	855	664	0
8	8	5	6	7	1782	823	572	1
6	8	5	6	7	1575	963	0	1
7	8	5	6	7	3435	943	0	-1
6	8	5	6	7	2255	512	0	1
5	8	5	6	7	2260	530	635	-1
5	8	5	6	7	2521	601	671	0
5	8	5	6	7	1758	817	604	0
7	8	5	6	7	2232	734	0	0
8	8	5	6	7	1736	726	708	1
8	8	5	6	7	1500	664	500	0
7	8	5	6	7	1556	648	0	0
7	8	5	6	7	3094	954	0	0
8	8	5	6	7	1669	944	747	1
5	8	5	6	7	1811	940	592	0
5	8	5	6	7	1382	904	760	0
8	8	5	6	7	1615	898	639	1
5	8	5	6	7	2734	765	531	0
5	8	5	6	7	2926	665	676	0
6	8	5	6	7	2185	770	0	0
8	8	5	6	7	5000	790	712	1
7	8	5	6	7	2460	780	0	0
5	8	5	6	7	1551	798	842	0
6	8	5	6	7	1820	914	0	1
7	8	5	6	7	2057	750	0	0
7	8	5	6	7	2435	698	0	0
5	8	5	6	7	2763	828	645	0
6	8	5	6	7	1815	881	0	1
5	8	5	6	7	1585	694	640	0
5	8	5	6	7	1198	799	640	0
5	8	5	6	7	1349	691	585	0
8	8	5	6	7	2107	663	612	0
6	8	5	6	7	1919	716	0	1
6	8	5	6	7	1997	873	0	0
7	8	5	6	7	1474	559	0	0
11	10	9	12	11	2138	890	821	-1
12	10	9	12	11	1900	974	643	0
9	10	9	12	11	2089	870	723	0
11	10	9	12	11	1873	964	0	0
12	10	9	12	11	2008	701	1183	0
10	10	9	12	11	2581	679	864	1
10	10	9	12	11	1461	734	662	1
9	10	9	12	11	1660	880	0	-1
10	10	9	12	11	2640	983	618	0
9	10	9	12	11	1743	819	659	0
11	10	9	12	11	2031	666	0	0
9	10	9	12	11	1838	613	789	0
9	10	9	12	11	2927	826	700	-1
12	10	9	12	11	1706	745	0	1
10	10	9	12	11	2222	881	529	1
12	10	9	12	11	1988	595	0	0
11	10	9	12	11	1759	594	0	0
11	10	9	12	11	1819	515	0	0
11	10	9	12	11	1813	672	0	0
12	10	9	12	11	2289	746	0	1
9	10	9	12	11	2818	910	817	-1
9	10	9	12	11	1880	634	566	0
10	10	9	12	11	1788	689	562	1
11	10	9	12	11	1512	749	0	0
9	10	9	12	11	1794	676	750	0
9	10	9	12	11	2958	807	795	0
11	10	9	12	11	1300	877	0	-1
12	10	9	12	11	1576	854	0	1
12	10	9	12	11	2076	718	0	1
12	10	9	12	11	1595	784	0	1
9	10	9	12	11	2058	522	712	0
9	10	9	12	11	1631	972	736	0
10	10	9	12	11	2203	807	632	1
9	10	9	12	11	1504	740	923	0
11	10	9	12	11	3057	878	0	-1
9	10	9	12	11	2934	958	688	0
10	10	9	12	11	2763	876	501	0
10	10	9	12	11	2253	588	239	1
12	10	9	12	11	2273	943	0	1
12	10	9	12	11	1832	905	0	0
12	10	9	12	11	1720	893	0	1
12	10	9	12	11	1841	723	0	0
10	10	9	12	11	3243	828	760	1
12	10	9	12	11	2080	606	0	1
9	10	9	12	11	1832	827	676	0
12	10	9	12	11	1000	824	0	1
10	10	9	12	11	1953	586	604	1
9	10	9	12	11	2194	666	591	0
12	10	9	12	11	1775	827	0	1
9	10	9	12	11	3235	839	667	0
10	10	9	12	11	2078	561	620	1
11	10	9	12	11	2266	906	0	0
11	10	9	12	11	1623	517	0	0
10	10	9	12	11	2709	954	810	0
10	10	9	12	11	2374	761	944	1
10	10	9	12	11	2276	851	529	1
10	10	9	12	11	2102	591	590	0
11	10	9	12	11	2086	585	0	0
11	10	9	12	11	1582	692	0	-1
10	10	9	12	11	2306	897	605	1
11	10	9	12	11	1000	661	0	-1
10	10	9	12	11	2048	597	628	1
9	10	9	12	11	2925	878	606	0
12	10	9	12	11	1655	806	0	1
12	10	9	12	11	2231	972	0	1
10	10	9	12	11	3179	643	561	1
12	10	9	12	11	2275	541	0	0
12	10	9	12	11	1834	916	0	1
11	10	9	12	11	2289	731	0	0
10	10	9	12	11	2829	628	1298	1
9	10	9	12	11	2244	593	638	0
11	10	9	12	11	1528	866	0	0
11	10	9	12	11	2520	984	0	0
12	10	9	12	11	2668	966	0	1
11	10	9	12	11	1592	696	0	0
10	10	9	12	11	2485	548	569	1
9	10	9	12	11	3075	903	676	0
11	10	9	12	11	1856	941	0	0
9	10	9	12	11	1513	971	626	-1
11	10	9	12	11	1871	572	0	0
15	14	13	16	15	2353	625	528	-1
16	14	13	16	15	2689	515	764	0
16	14	13	16	15	1857	933	792	1
16	14	13	16	15	1497	914	714	0
15	14	13	16	15	1343	793	1209	-1
16	14	13	16	15	1851	768	0	1
14	14	13	16	15	1247	597	625	1
13	14	13	16	15	2114	895	0	-1
16	14	13	16	15	2547	924	785	0
13	14	13	16	15	2100	772	0	-1
14	14	13	16	15	1659	982	682	1
15	14	13	16	15	1898	852	0	0
13	14	13	16	15	1584	619	456	0
15	14	13	16	15	2907	770	0	-1
14	14	13	16	15	1470	760	987	1
13	14	13	16	15	1238	812	1237	-1
13	14	13	16	15	2334	823	699	0
15	14	13	16	15	2525	983	0	-1
15	14	13	16	15	1550	831	0	0
14	14	13	16	15	2398	669	713	0
15	14	13	16	15	2335	974	0	0
15	14	13	16	15	1254	967	0	0
14	14	13	16	15	2128	505	703	1
13	14	13	16	15	1723	972	544	0
16	14	13	16	15	1757	647	0	1
15	14	13	16	15	1207	712	0	0
15	14	13	16	15	1469	716	0	0
14	14	13	16	15	2014	520	640	1
14	14	13	16	15	1671	553	698	0
13	14	13	16	15	1567	830	838	0
13	14	13	16	15	2229	992	889	0
13	14	13	16	15	1646	801	869	0
15	14	13	16	15	1759	682	0	0
13	14	13	16	15	2800	925	677	0
13	14	13	16	15	1447	871	624	0
15	14	13	16	15	1737	947	0	0
16	14	13	16	15	1984	936	0	1
15	14	13	16	15	1181	986	0	-1
13	14	13	16	15	2086	672	805	0
16	14	13	16	15	2246	786	0	1
13	14	13	16	15	1301	852	646	0
14	14	13	16	15	2053	684	607	1
15	14	13	16	15	2642	688	0	0
14	14	13	16	15	1749	548	1010	1
14	14	13	16	15	2511	586	853	1
14	14	13	16	15	1565	570	762	0
13	14	13	16	15	1637	754	0	-1
16	14	13	16	15	1668	771	0	1
15	14	13	16	15	2936	561	0	-1
15	14	13	16	15	1418	613	0	0
15	14	13	16	15	2420	954	0	0
15	14	13	16	15	2331	996	0	0
15	14	13	16	15	2059	982	0	0
15	14	13	16	15	3659	891	0	0
14	14	13	16	15	2503	576	685	1
16	14	13	16	15	2086	604	0	1
14	14	13	16	15	1531	739	678	1
13	14	13	16	15	2184	915	1021	0
14	14	13	16	15	1547	530	542	1
14	14	13	16	15	2071	516	603	1
16	14	13	16	15	1975	863	0	1
16	14	13	16	15	1318	528	0	1
16	14	13	16	15	1880	667	0	1
13	14	13	16	15	2332	677	783	0
16	14	13	16	15	2256	526	0	0
16	14	13	16	15	2550	726	661	0
16	14	13	16	15	2087	815	0	0
14	14	13	16	15	2507	754	645	1
16	14	13	16	15	1803	914	0	1
16	14	13	16	15	1000	535	0	0
13	14	13	16	15	2095	955	687	0
14	14	13	16	15	1277	874	604	1
13	14	13	16	15	1422	873	807	0
14	14	13	16	15	2371	602	999	1
13	14	13	16	15	2168	872	573	-1
16	14	13	16	15	2127	623	0	1
16	14	13	16	15	1978	524	0	1
14	14	13	16	15	1279	825	784	0
14	14	13	16	15	1844	683	713	1
13	14	13	16	15	2190	686	567	-1
