2	2	1	4	3	2369	578	0	0
1	2	1	4	3	1596	732	626	0
2	2	1	4	3	2645	523	0	1
3	2	1	4	3	2381	789	1087	-1
1	2	1	4	3	1879	617	755	0
4	2	1	4	3	2822	555	985	0
2	2	1	4	3	2184	545	0	1
2	2	1	4	3	1635	759	0	0
2	2	1	4	3	1941	690	0	1
1	2	1	4	3	1763	685	736	0
1	2	1	4	3	3279	598	765	0
2	2	1	4	3	2323	666	0	0
3	2	1	4	3	1576	959	0	0
1	2	1	4	3	1761	934	0	0
3	2	1	4	3	1614	962	0	0
1	2	1	4	3	1826	882	756	0
4	2	1	4	3	2372	885	862	0
1	2	1	4	3	1463	544	620	-1
2	2	1	4	3	1966	562	0	0
3	2	1	4	3	2122	648	0	-1
2	2	1	4	3	1802	663	0	0
1	2	1	4	3	2040	568	747	0
3	2	1	4	3	2207	883	566	0
2	2	1	4	3	2145	849	0	0
1	2	1	4	3	2032	643	599	0
3	2	1	4	3	1238	513	582	-1
3	2	1	4	3	2164	632	0	0
1	2	1	4	3	2088	958	563	-1
3	2	1	4	3	1588	655	0	0
4	2	1	4	3	2224	669	731	0
1	2	1	4	3	2274	685	0	-1
1	2	1	4	3	2344	797	655	0
3	2	1	4	3	2381	943	978	0
3	2	1	4	3	1678	828	742	-1
2	2	1	4	3	2019	842	1271	0
4	2	1	4	3	2864	513	637	0
2	2	1	4	3	2388	947	640	1
2	2	1	4	3	2386	693	0	0
4	2	1	4	3	1592	587	918	0
4	2	1	4	3	1674	511	625	0
1	2	1	4	3	1746	768	616	0
2	2	1	4	3	2887	733	959	1
4	2	1	4	3	2283	706	0	1
3	2	1	4	3	1267	779	767	-1
3	2	1	4	3	2444	672	526	-1
4	2	1	4	3	2266	557	1110	0
4	2	1	4	3	1779	894	664	0
3	2	1	4	3	2087	676	0	-1
4	2	1	4	3	2008	826	786	0
3	2	1	4	3	1597	561	0	0
1	2	1	4	3	1807	737	791	0
2	2	1	4	3	2490	811	1151	1
3	2	1	4	3	2072	827	0	-1
4	2	1	4	3	1951	546	927	0
1	2	1	4	3	1936	526	710	0
4	2	1	4	3	2380	866	547	1
3	2	1	4	3	1237	875	0	0
3	2	1	4	3	1495	859	0	0
4	2	1	4	3	2304	701	587	1
2	2	1	4	3	1965	699	990	1
1	2	1	4	3	2247	643	1106	0
1	2	1	4	3	2402	833	0	0
4	2	1	4	3	1318	863	693	0
2	2	1	4	3	1385	659	616	1
4	2	1	4	3	1461	986	0	1
4	2	1	4	3	2451	805	548	1
3	2	1	4	3	1864	598	0	0
2	2	1	4	3	2287	545	665	0
4	2	1	4	3	2129	606	827	0
2	2	1	4	3	1752	974	965	1
3	2	1	4	3	1759	949	531	-1
4	2	1	4	3	2195	580	742	0
1	2	1	4	3	2285	686	655	0
3	2	1	4	3	1494	596	686	-1
4	2	1	4	3	3016	924	565	1
1	2	1	4	3	1552	644	0	-1
1	2	1	4	3	1743	538	541	0
3	2	1	4	3	1191	554	1116	-1
4	2	1	4	3	1784	580	608	1
3	2	1	4	3	1266	615	640	-1
1	2	1	4	3	1433	617	0	-1
2	2	1	4	3	1598	876	416	1
3	2	1	4	3	2977	839	322	-1
2	2	1	4	3	1503	503	511	1
3	2	1	4	3	1346	988	0	0
3	2	1	4	3	1504	981	1058	-1
1	2	1	4	3	1445	546	790	0
4	2	1	4	3	1467	841	727	0
2	2	1	4	3	1546	845	629	1
4	2	1	4	3	1842	598	490	0
4	2	1	4	3	1932	631	729	0
1	2	1	4	3	2228	843	806	-1
4	2	1	4	3	2493	722	562	0
2	2	1	4	3	2785	804	1159	1
1	2	1	4	3	3515	950	655	0
1	2	1	4	3	3020	864	882	0
2	2	1	4	3	2234	856	926	1
2	2	1	4	3	1166	536	473	1
4	2	1	4	3	1932	588	796	0
2	2	1	4	3	1795	529	441	1
6	6	7	8	5	1000	566	895	1
8	6	7	8	5	1613	574	0	1
8	6	7	8	5	2080	927	304	0
7	6	7	8	5	2538	927	0	-1
5	6	7	8	5	1693	878	1046	-1
5	6	7	8	5	2306	635	0	-1
8	6	7	8	5	1536	521	0	1
5	6	7	8	5	1246	544	0	0
5	6	7	8	5	2277	653	522	-1
7	6	7	8	5	1275	993	1193	0
5	6	7	8	5	2257	513	0	-1
5	6	7	8	5	1509	800	0	0
6	6	7	8	5	1842	916	782	0
8	6	7	8	5	1000	794	0	1
6	6	7	8	5	2234	910	683	1
8	6	7	8	5	1329	963	0	1
5	6	7	8	5	2528	884	0	0
6	6	7	8	5	2074	641	917	1
8	6	7	8	5	1885	899	0	1
6	6	7	8	5	1885	968	588	1
5	6	7	8	5	1289	745	0	0
